GENESIS-Tabelle: 12613-0006;;;
Gestorbene: Deutschland; Monate; Geschlecht;
Statistik der Sterbefälle;;;
Deutschland;;;
Gestorbene (Anzahl);;;
;;männlich;weiblich
1993;August;32048;36033
1993;September;32301;36430
1993;Oktober;34289;39192
1993;November;34806;40129
1993;Dezember;38030;45689
1994;Januar;37411;45103
1994;Februar;33613;39460
1994;März;35741;42320
1994;April;33419;38126
1994;Mai;32849;37367
1994;Juni;33193;38101
1994;Juli;34773;40986
1994;August;33385;39089
1994;September;31922;36499
1994;Oktober;34873;39851
1994;November;32770;37623
1994;Dezember;35426;40761
1995;Januar;36783;42388
1995;Februar;31789;37264
1995;März;38556;45351
1995;April;35353;41744
1995;Mai;33903;38610
1995;Juni;31745;36107
1995;Juli;33152;37988
1995;August;31902;36173
1995;September;31571;35935
1995;Oktober;33296;38090
1995;November;33706;38482
1995;Dezember;38907;45793
1996;Januar;42553;52131
1996;Februar;36854;44593
1996;März;36207;42846
1996;April;33654;39025
1996;Mai;32899;37690
1996;Juni;31827;36348
1996;Juli;31587;36218
1996;August;30867;35174
1996;September;30972;35122
1996;Oktober;33005;37569
1996;November;32260;36959
1996;Dezember;35397;41086
1997;Januar;37989;45501
1997;Februar;34193;40969
1997;März;34502;40598
1997;April;33030;37487
1997;Mai;32423;37805
1997;Juni;31623;35667
1997;Juli;31130;35359
1997;August;32005;36912
1997;September;30605;34257
1997;Oktober;33294;38620
1997;November;32976;38562
1997;Dezember;34543;40339
1998;Januar;34508;40159
1998;Februar;33234;39595
1998;März;35896;42714
1998;April;32758;38602
1998;Mai;32435;37241
1998;Juni;30444;35444
1998;Juli;31576;36273
1998;August;31376;35883
1998;September;30666;34886
1998;Oktober;32645;38272
1998;November;32266;37775
1998;Dezember;35639;42095
1999;Januar;35742;43001
1999;Februar;35627;44243
1999;März;36881;44795
1999;April;31254;36005
1999;Mai;31694;36317
1999;Juni;29967;33971
1999;Juli;31226;35196
1999;August;30486;34943
1999;September;29685;34080
1999;Oktober;32091;36624
1999;November;31597;36289
1999;Dezember;34492;40124
