GENESIS-Tabelle: 12411-0006,,,,
"Bevölkerung: Deutschland, Stichtag, Altersjahre,",,,,
Nationalität/Geschlecht/Familienstand,,,,
Fortschreibung des Bevölkerungsstandes,,,,
Deutschland,,,,
Bevölkerungsstand (Anzahl),,,,
,,Geschlecht,Geschlecht,Geschlecht
,,männlich,weiblich,Insgesamt
1995-12-31,15-Jährige,472781,448999,921780
1995-12-31,16-Jährige,450337,425486,875823
1995-12-31,17-Jährige,446381,420036,866417
1995-12-31,18-Jährige,444819,419897,864716
1995-12-31,19-Jährige,441763,419675,861438
1995-12-31,20-Jährige,435599,413469,849068
1995-12-31,21-Jährige,447511,428544,876055
1995-12-31,22-Jährige,461459,440941,902400
1995-12-31,23-Jährige,517691,490651,1008342
1995-12-31,24-Jährige,582119,548660,1130779
1995-12-31,25-Jährige,616491,575988,1192479
1995-12-31,26-Jährige,669189,623455,1292644
1995-12-31,27-Jährige,705612,656160,1361772
1995-12-31,28-Jährige,725683,676307,1401990
1995-12-31,29-Jährige,749150,695505,1444655
1995-12-31,30-Jährige,758611,698307,1456918
1995-12-31,31-Jährige,770500,712687,1483187
1995-12-31,32-Jährige,765219,709419,1474638
1995-12-31,33-Jährige,739925,689698,1429623
1995-12-31,34-Jährige,726116,683205,1409321
1995-12-31,35-Jährige,707648,665000,1372648
1995-12-31,36-Jährige,685711,645298,1331009
1995-12-31,37-Jährige,652867,613070,1265937
1995-12-31,38-Jährige,640612,603544,1244156
1995-12-31,39-Jährige,626394,591484,1217878
1995-12-31,40-Jährige,607191,577559,1184750
1995-12-31,41-Jährige,595493,574080,1169573
1995-12-31,42-Jährige,576478,561172,1137650
1995-12-31,43-Jährige,579161,564525,1143686
1995-12-31,44-Jährige,568650,554809,1123459
1995-12-31,45-Jährige,575638,560871,1136509
1995-12-31,46-Jährige,560030,541057,1101087
1995-12-31,47-Jährige,518568,499199,1017767
1995-12-31,48-Jährige,489151,473661,962812
1995-12-31,49-Jährige,432202,418516,850718
1995-12-31,50-Jährige,382535,375970,758505
1995-12-31,51-Jährige,510937,500776,1011713
1995-12-31,52-Jährige,522791,509477,1032268
1995-12-31,53-Jährige,509528,497428,1006956
1995-12-31,54-Jährige,615443,605692,1221135
1995-12-31,55-Jährige,650275,644010,1294285
1995-12-31,56-Jährige,638055,635749,1273804
1995-12-31,57-Jährige,596039,597096,1193135
1995-12-31,58-Jährige,557072,561804,1118876
1995-12-31,59-Jährige,541780,553511,1095291
1995-12-31,60-Jährige,523280,538983,1062263
1995-12-31,61-Jährige,486799,505265,992064
1995-12-31,62-Jährige,391288,412129,803417
1995-12-31,63-Jährige,386728,414743,801471
1995-12-31,64-Jährige,390674,427023,817697
1995-12-31,65-Jährige,407104,455156,862260
1995-12-31,66-Jährige,390476,445338,835814
1995-12-31,67-Jährige,382328,446631,828959
1995-12-31,68-Jährige,335624,429696,765320
1995-12-31,69-Jährige,306746,439864,746610
1995-12-31,70-Jährige,286478,447475,733953
1995-12-31,71-Jährige,243891,429573,673464
1995-12-31,72-Jährige,231393,421221,652614
1995-12-31,73-Jährige,236690,432754,669444
1995-12-31,74-Jährige,233932,448147,682079
1995-12-31,75-Jährige,216996,434935,651931
1995-12-31,76-Jährige,156649,318960,475609
1995-12-31,77-Jährige,96276,201803,298079
1995-12-31,78-Jährige,87777,186532,274309
1995-12-31,79-Jährige,89458,198347,287805
1995-12-31,80-Jährige,107398,249943,357341
1995-12-31,81-Jährige,125327,303754,429081
1995-12-31,82-Jährige,115680,286125,401805
1995-12-31,83-Jährige,103804,265428,369232
1995-12-31,84-Jährige,85398,227489,312887
1995-12-31,85 Jahre und mehr,346364,1077490,1423854
1995-12-31,Insgesamt,39824823,41992676,81817499
1996-12-31,unter 1 Jahr,409150,387111,796261
1996-12-31,1-Jährige,395214,375300,770514
1996-12-31,2-Jährige,400465,378888,779353
1996-12-31,3-Jährige,416542,394973,811515
1996-12-31,4-Jährige,426288,405791,832079
1996-12-31,5-Jährige,443743,421312,865055
1996-12-31,6-Jährige,488013,462848,950861
1996-12-31,7-Jährige,480995,457504,938499
1996-12-31,8-Jährige,495392,469382,964774
1996-12-31,9-Jährige,485149,458129,943278
1996-12-31,10-Jährige,475180,451244,926424
1996-12-31,11-Jährige,458709,435969,894678
1996-12-31,12-Jährige,457795,433894,891689
1996-12-31,13-Jährige,461278,437610,898888
1996-12-31,14-Jährige,474473,448905,923378
1996-12-31,15-Jährige,472980,448844,921824
1996-12-31,16-Jährige,477006,452352,929358
1996-12-31,17-Jährige,454081,428642,882723
1996-12-31,18-Jährige,450754,425114,875868
1996-12-31,19-Jährige,449634,427355,876989
1996-12-31,20-Jährige,448115,427548,875663
1996-12-31,21-Jährige,441991,420541,862532
1996-12-31,22-Jährige,454246,434979,889225
1996-12-31,23-Jährige,467804,446796,914600
1996-12-31,24-Jährige,523273,495880,1019153
1996-12-31,25-Jährige,586319,552640,1138959
1996-12-31,26-Jährige,620367,579409,1199776
1996-12-31,27-Jährige,671653,626293,1297946
1996-12-31,28-Jährige,707474,658561,1366035
1996-12-31,29-Jährige,726872,678620,1405492
1996-12-31,30-Jährige,750189,697371,1447560
1996-12-31,31-Jährige,759224,700119,1459343
1996-12-31,32-Jährige,770851,714443,1485294
1996-12-31,33-Jährige,765651,711283,1476934
1996-12-31,34-Jährige,740135,691572,1431707
1996-12-31,35-Jährige,726357,684847,1411204
1996-12-31,36-Jährige,707820,666551,1374371
1996-12-31,37-Jährige,685549,646908,1332457
1996-12-31,38-Jährige,652627,614444,1267071
1996-12-31,39-Jährige,640291,604621,1244912
1996-12-31,40-Jährige,625781,592584,1218365
1996-12-31,41-Jährige,606637,578696,1185333
1996-12-31,42-Jährige,594480,574911,1169391
1996-12-31,43-Jährige,575351,561697,1137048
1996-12-31,44-Jährige,577524,564976,1142500
1996-12-31,45-Jährige,567213,555083,1122296
1996-12-31,46-Jährige,573791,560960,1134751
1996-12-31,47-Jährige,557956,540950,1098906
1996-12-31,48-Jährige,516330,498776,1015106
1996-12-31,49-Jährige,487015,473207,960222
1996-12-31,50-Jährige,429718,417798,847516
1996-12-31,51-Jährige,379835,375115,754950
1996-12-31,52-Jährige,507169,499278,1006447
1996-12-31,53-Jährige,518737,507775,1026512
1996-12-31,54-Jährige,505534,495863,1001397
1996-12-31,55-Jährige,610410,603869,1214279
1996-12-31,56-Jährige,644486,641841,1286327
1996-12-31,57-Jährige,631948,633540,1265488
1996-12-31,58-Jährige,590042,595097,1185139
1996-12-31,59-Jährige,550866,559449,1110315
1996-12-31,60-Jährige,534321,550663,1084984
1996-12-31,61-Jährige,515088,535623,1050711
1996-12-31,62-Jährige,478656,501781,980437
1996-12-31,63-Jährige,383711,408867,792578
1996-12-31,64-Jährige,378861,411282,790143
1996-12-31,65-Jährige,381908,423007,804915
1996-12-31,66-Jährige,397213,450483,847696
1996-12-31,67-Jährige,380409,440397,820806
1996-12-31,68-Jährige,371343,441118,812461
1996-12-31,69-Jährige,325527,423521,749048
1996-12-31,70-Jährige,296972,432964,729936
1996-12-31,71-Jährige,276205,439608,715813
1996-12-31,72-Jährige,234239,420905,655144
1996-12-31,73-Jährige,221196,411583,632779
1996-12-31,74-Jährige,225186,421373,646559
1996-12-31,75-Jährige,221473,434968,656441
1996-12-31,76-Jährige,204158,420463,624621
1996-12-31,77-Jährige,146628,307039,453667
1996-12-31,78-Jährige,89631,193219,282850
1996-12-31,79-Jährige,81056,177605,258661
1996-12-31,80-Jährige,81904,187863,269767
1996-12-31,81-Jährige,97314,234630,331944
1996-12-31,82-Jährige,112467,283184,395651
1996-12-31,83-Jährige,102545,264446,366991
1996-12-31,84-Jährige,91045,242765,333810
1996-12-31,85 Jahre und mehr,355307,1111912,1467219
1996-12-31,Insgesamt,39954835,42057327,82012162
1997-12-31,unter 1 Jahr,416403,394882,811285
1997-12-31,1-Jährige,410057,388011,798068
1997-12-31,2-Jährige,395638,375764,771402
1997-12-31,3-Jährige,401038,379302,780340
1997-12-31,4-Jährige,417182,395636,812818
1997-12-31,5-Jährige,426706,406344,833050
1997-12-31,6-Jährige,443753,421256,865009
1997-12-31,7-Jährige,488356,462914,951270
1997-12-31,8-Jährige,481800,458307,940107
1997-12-31,9-Jährige,496526,470354,966880
1997-12-31,10-Jährige,486444,459205,945649
1997-12-31,11-Jährige,476533,452387,928920
1997-12-31,12-Jährige,460111,437077,897188
1997-12-31,13-Jährige,459307,435240,894547
1997-12-31,14-Jährige,462917,438961,901878
1997-12-31,15-Jährige,476772,450684,927456
1997-12-31,16-Jährige,475541,451127,926668
1997-12-31,17-Jährige,479640,454619,934259
1997-12-31,18-Jährige,457012,432489,889501
1997-12-31,19-Jährige,453864,431258,885122
1997-12-31,20-Jährige,453979,433899,887878
1997-12-31,21-Jährige,451960,433203,885163
1997-12-31,22-Jährige,446136,425753,871889
1997-12-31,23-Jährige,458050,439118,897168
1997-12-31,24-Jährige,470504,449915,920419
1997-12-31,25-Jährige,524815,498023,1022838
1997-12-31,26-Jährige,586804,554008,1140812
1997-12-31,27-Jährige,620047,580655,1200702
1997-12-31,28-Jährige,670550,626733,1297283
1997-12-31,29-Jährige,705718,658653,1364371
1997-12-31,30-Jährige,724467,678396,1402863
1997-12-31,31-Jährige,747423,697219,1444642
1997-12-31,32-Jährige,756426,700075,1456501
1997-12-31,33-Jährige,767895,714275,1482170
1997-12-31,34-Jährige,762767,711225,1473992
1997-12-31,35-Jährige,737609,691592,1429201
1997-12-31,36-Jährige,723956,684948,1408904
1997-12-31,37-Jährige,705195,666778,1371973
1997-12-31,38-Jährige,682932,646911,1329843
1997-12-31,39-Jährige,650074,614612,1264686
1997-12-31,40-Jährige,637942,604742,1242684
1997-12-31,41-Jährige,622908,592557,1215465
1997-12-31,42-Jährige,603935,578727,1182662
1997-12-31,43-Jährige,591690,574645,1166335
1997-12-31,44-Jährige,572417,561310,1133727
1997-12-31,45-Jährige,574693,564675,1139368
1997-12-31,46-Jährige,564467,554584,1119051
1997-12-31,47-Jährige,570789,560240,1131029
1997-12-31,48-Jährige,554893,540115,1095008
1997-12-31,49-Jährige,513263,497774,1011037
1997-12-31,50-Jährige,483758,472070,955828
1997-12-31,51-Jährige,426523,416519,843042
1997-12-31,52-Jährige,376770,373705,750475
1997-12-31,53-Jährige,502761,497291,1000052
1997-12-31,54-Jährige,514242,505607,1019849
1997-12-31,55-Jährige,501074,493953,995027
1997-12-31,56-Jährige,604821,601418,1206239
1997-12-31,57-Jährige,637975,639116,1277091
1997-12-31,58-Jährige,625200,630737,1255937
1997-12-31,59-Jährige,583322,592436,1175758
1997-12-31,60-Jährige,543512,556346,1099858
1997-12-31,61-Jährige,526337,547270,1073607
1997-12-31,62-Jährige,506637,531838,1038475
1997-12-31,63-Jährige,469733,497704,967437
1997-12-31,64-Jährige,376027,405181,781208
1997-12-31,65-Jährige,370393,407353,777746
1997-12-31,66-Jährige,372676,418472,791148
1997-12-31,67-Jährige,387063,445415,832478
1997-12-31,68-Jährige,369617,434994,804611
1997-12-31,69-Jährige,360008,434929,794937
1997-12-31,70-Jährige,314941,416933,731874
1997-12-31,71-Jährige,286687,425367,712054
1997-12-31,72-Jährige,265506,430793,696299
1997-12-31,73-Jährige,224468,411717,636185
1997-12-31,74-Jährige,210939,401396,612335
1997-12-31,75-Jährige,213777,409399,623176
1997-12-31,76-Jährige,209048,421141,630189
1997-12-31,77-Jährige,191450,405073,596523
1997-12-31,78-Jährige,136681,294502,431183
1997-12-31,79-Jährige,82954,184438,267392
1997-12-31,80-Jährige,74327,168404,242731
1997-12-31,81-Jährige,74603,176936,251539
1997-12-31,82-Jährige,87605,219326,306931
1997-12-31,83-Jährige,100448,262190,362638
1997-12-31,84-Jährige,90436,242503,332939
1997-12-31,85 Jahre und mehr,370088,1161419,1531507
1997-12-31,Insgesamt,39992311,42065068,82057379
1998-12-31,unter 1 Jahr,402664,382119,784783
1998-12-31,1-Jährige,416653,395148,811801
1998-12-31,2-Jährige,409563,387690,797253
1998-12-31,3-Jährige,395211,375416,770627
1998-12-31,4-Jährige,400924,379128,780052
1998-12-31,5-Jährige,417052,395675,812727
1998-12-31,6-Jährige,426054,405660,831714
1998-12-31,7-Jährige,443029,420591,863620
1998-12-31,8-Jährige,488323,462753,951076
1998-12-31,9-Jährige,481852,458406,940258
1998-12-31,10-Jährige,496606,470400,967006
1998-12-31,11-Jährige,486661,459359,946020
1998-12-31,12-Jährige,476769,452830,929599
1998-12-31,13-Jährige,460510,437445,897955
1998-12-31,14-Jährige,459861,435691,895552
1998-12-31,15-Jährige,463838,439658,903496
1998-12-31,16-Jährige,478592,451816,930408
1998-12-31,17-Jährige,478073,452601,930674
1998-12-31,18-Jährige,482115,457962,940077
1998-12-31,19-Jährige,460691,438231,898922
1998-12-31,20-Jährige,458567,437608,896175
1998-12-31,21-Jährige,458098,439434,897532
1998-12-31,22-Jährige,456532,438113,894645
1998-12-31,23-Jährige,450825,429879,880704
1998-12-31,24-Jährige,461845,442639,904484
1998-12-31,25-Jährige,472721,452304,925025
1998-12-31,26-Jährige,525313,499132,1024445
1998-12-31,27-Jährige,586555,555008,1141563
1998-12-31,28-Jährige,619032,581113,1200145
1998-12-31,29-Jährige,668698,626658,1295356
1998-12-31,30-Jährige,703267,657996,1361263
1998-12-31,31-Jährige,721593,677680,1399273
1998-12-31,32-Jährige,744343,696263,1440606
1998-12-31,33-Jährige,753129,699097,1452226
1998-12-31,34-Jährige,764777,713101,1477878
1998-12-31,35-Jährige,759759,710385,1470144
1998-12-31,36-Jährige,734615,690805,1425420
1998-12-31,37-Jährige,721168,684223,1405391
1998-12-31,38-Jährige,702147,666191,1368338
1998-12-31,39-Jährige,680313,646258,1326571
1998-12-31,40-Jährige,647497,614066,1261563
1998-12-31,41-Jährige,635315,603978,1239293
1998-12-31,42-Jährige,620042,591945,1211987
1998-12-31,43-Jährige,601188,577951,1179139
1998-12-31,44-Jährige,588942,574022,1162964
1998-12-31,45-Jährige,569918,560433,1130351
1998-12-31,46-Jährige,571949,563869,1135818
1998-12-31,47-Jährige,561841,553835,1115676
1998-12-31,48-Jährige,567655,559256,1126911
1998-12-31,49-Jährige,551782,539071,1090853
1998-12-31,50-Jährige,510248,496575,1006823
1998-12-31,51-Jährige,480634,470783,951417
1998-12-31,52-Jährige,423295,415126,838421
1998-12-31,53-Jährige,373735,372359,746094
1998-12-31,54-Jährige,498535,495258,993793
1998-12-31,55-Jährige,509614,503498,1013112
1998-12-31,56-Jährige,496458,491800,988258
1998-12-31,57-Jährige,599037,598791,1197828
1998-12-31,58-Jährige,631335,636268,1267603
1998-12-31,59-Jährige,618206,627742,1245948
1998-12-31,60-Jährige,575695,589166,1164861
1998-12-31,61-Jährige,535729,553040,1088769
1998-12-31,62-Jährige,517868,543642,1061510
1998-12-31,63-Jährige,497798,527820,1025618
1998-12-31,64-Jährige,460692,493449,954141
1998-12-31,65-Jährige,367869,401297,769166
1998-12-31,66-Jährige,361711,403058,764769
1998-12-31,67-Jährige,363376,413801,777177
1998-12-31,68-Jährige,376510,439843,816353
1998-12-31,69-Jährige,358575,429038,787613
1998-12-31,70-Jährige,348456,428337,776793
1998-12-31,71-Jährige,304007,409853,713860
1998-12-31,72-Jährige,275937,417112,693049
1998-12-31,73-Jährige,254641,421376,676017
1998-12-31,74-Jährige,214452,401709,616161
1998-12-31,75-Jährige,200387,390362,590749
1998-12-31,76-Jährige,202039,396572,598611
1998-12-31,77-Jährige,196399,406556,602955
1998-12-31,78-Jährige,178848,388611,567459
1998-12-31,79-Jährige,126572,281260,407832
1998-12-31,80-Jährige,76325,175022,251347
1998-12-31,81-Jährige,67767,158793,226560
1998-12-31,82-Jährige,67416,165601,233017
1998-12-31,83-Jährige,78338,203226,281564
1998-12-31,84-Jährige,88723,240785,329508
1998-12-31,85 Jahre und mehr,382448,1204448,1586896
1998-12-31,Insgesamt,40004142,42032869,82037011
1999-12-31,unter 1 Jahr,396428,374795,771223
1999-12-31,1-Jährige,404736,384169,788905
1999-12-31,2-Jährige,417926,396499,814425
1999-12-31,3-Jährige,410825,388953,799778
1999-12-31,4-Jährige,396543,376760,773303
1999-12-31,5-Jährige,402279,380505,782784
1999-12-31,6-Jährige,418012,396595,814607
1999-12-31,7-Jährige,427125,406668,833793
1999-12-31,8-Jährige,444378,421967,866345
1999-12-31,9-Jährige,489939,464135,954074
1999-12-31,10-Jährige,483386,459800,943186
1999-12-31,11-Jährige,498212,471886,970098
1999-12-31,12-Jährige,488317,461093,949410
1999-12-31,13-Jährige,478621,454604,933225
1999-12-31,14-Jährige,462418,439440,901858
1999-12-31,15-Jährige,462325,437725,900050
1999-12-31,16-Jährige,466825,442130,908955
1999-12-31,17-Jährige,481590,454414,936004
1999-12-31,18-Jährige,480552,456895,937447
1999-12-31,19-Jährige,485801,464848,950649
1999-12-31,20-Jährige,465642,446144,911786
1999-12-31,21-Jährige,463668,444483,908151
1999-12-31,22-Jährige,463815,446270,910085
1999-12-31,23-Jährige,461689,444012,905701
1999-12-31,24-Jährige,455608,435061,890669
1999-12-31,25-Jährige,465496,446824,912320
1999-12-31,26-Jährige,475670,455584,931254
1999-12-31,27-Jährige,527265,501947,1029212
1999-12-31,28-Jährige,587605,557113,1144718
1999-12-31,29-Jährige,619202,582850,1202052
1999-12-31,30-Jährige,668471,627853,1296324
1999-12-31,31-Jährige,702893,659365,1362258
1999-12-31,32-Jährige,720685,678126,1398811
1999-12-31,33-Jährige,742792,696616,1439408
1999-12-31,34-Jährige,751358,699501,1450859
1999-12-31,35-Jährige,763403,713871,1477274
1999-12-31,36-Jährige,758199,710851,1469050
1999-12-31,37-Jährige,733388,691484,1424872
1999-12-31,38-Jährige,720056,684667,1404723
1999-12-31,39-Jährige,701246,666814,1368060
1999-12-31,40-Jährige,679374,646764,1326138
1999-12-31,41-Jährige,646604,614462,1261066
1999-12-31,42-Jährige,634135,604281,1238416
1999-12-31,43-Jährige,618541,592012,1210553
1999-12-31,44-Jährige,599544,577970,1177514
1999-12-31,45-Jährige,587460,574076,1161536
1999-12-31,46-Jährige,568357,560200,1128557
1999-12-31,47-Jährige,570032,563489,1133521
1999-12-31,48-Jährige,560007,553447,1113454
1999-12-31,49-Jährige,565185,558541,1123726
1999-12-31,50-Jährige,549321,538434,1087755
1999-12-31,51-Jährige,507507,495684,1003191
1999-12-31,52-Jährige,477755,469802,947557
1999-12-31,53-Jährige,420606,413959,834565
1999-12-31,54-Jährige,371060,371116,742176
1999-12-31,55-Jährige,494587,493398,987985
1999-12-31,56-Jährige,505133,501549,1006682
1999-12-31,57-Jährige,492097,489893,981990
1999-12-31,58-Jährige,593435,596346,1189781
1999-12-31,59-Jährige,624870,633588,1258458
1999-12-31,60-Jährige,610630,624567,1235197
1999-12-31,61-Jährige,567967,585949,1153916
1999-12-31,62-Jährige,528123,549959,1078082
1999-12-31,63-Jährige,509632,540109,1049741
1999-12-31,64-Jährige,488995,523965,1012960
1999-12-31,65-Jährige,451604,489284,940888
1999-12-31,66-Jährige,359769,397489,757258
1999-12-31,67-Jährige,353182,398882,752064
1999-12-31,68-Jährige,353799,408925,762724
1999-12-31,69-Jährige,365800,434184,799984
1999-12-31,70-Jährige,347287,422892,770179
1999-12-31,71-Jährige,336803,421521,758324
1999-12-31,72-Jährige,293156,402416,695572
1999-12-31,73-Jährige,265159,408487,673646
1999-12-31,74-Jährige,243560,411753,655313
1999-12-31,75-Jährige,204196,391377,595573
1999-12-31,76-Jährige,190057,378836,568893
1999-12-31,77-Jährige,190351,383291,573642
1999-12-31,78-Jährige,183650,391068,574718
1999-12-31,79-Jährige,166129,371508,537637
1999-12-31,80-Jährige,116727,267554,384281
1999-12-31,81-Jährige,69794,165207,235001
1999-12-31,82-Jährige,61389,148689,210078
1999-12-31,83-Jährige,60400,153985,214385
1999-12-31,84-Jährige,69240,186718,255958
1999-12-31,85 Jahre und mehr,393378,1241756,1635134
1999-12-31,Insgesamt,40090776,42072699,82163475
2000-12-31,unter 1 Jahr,392998,373556,766554
2000-12-31,1-Jährige,397193,375747,772940
2000-12-31,2-Jährige,405158,384608,789766
2000-12-31,3-Jährige,418029,396645,814674
2000-12-31,4-Jährige,410802,389108,799910
2000-12-31,5-Jährige,396822,376918,773740
2000-12-31,6-Jährige,402129,380673,782802
2000-12-31,7-Jährige,418018,396575,814593
2000-12-31,8-Jährige,427578,407188,834766
2000-12-31,9-Jährige,444820,422624,867444
2000-12-31,10-Jährige,490598,464801,955399
2000-12-31,11-Jährige,484274,460727,945001
2000-12-31,12-Jährige,499285,472820,972105
2000-12-31,13-Jährige,489506,462287,951793
2000-12-31,14-Jährige,479961,455794,935755
2000-12-31,15-Jährige,464039,440975,905014
2000-12-31,16-Jährige,464723,439577,904300
2000-12-31,17-Jährige,469201,444429,913630
2000-12-31,18-Jährige,483633,458403,942036
2000-12-31,19-Jährige,483578,463874,947452
2000-12-31,20-Jährige,490423,472983,963406
2000-12-31,21-Jährige,469588,453269,922857
2000-12-31,22-Jährige,468572,451768,920340
2000-12-31,23-Jährige,468758,452832,921590
2000-12-31,24-Jährige,466315,449749,916064
2000-12-31,25-Jährige,459287,439527,898814
2000-12-31,26-Jährige,468152,450093,918245
2000-12-31,27-Jährige,477443,458531,935974
2000-12-31,28-Jährige,528613,504273,1032886
2000-12-31,29-Jährige,588395,558945,1147340
2000-12-31,30-Jährige,619147,584440,1203587
2000-12-31,31-Jährige,668122,628729,1296851
2000-12-31,32-Jährige,701998,660201,1362199
2000-12-31,33-Jährige,719619,678694,1398313
2000-12-31,34-Jährige,741778,697111,1438889
2000-12-31,35-Jährige,750189,699816,1450005
2000-12-31,36-Jährige,762237,714344,1476581
2000-12-31,37-Jährige,756957,711207,1468164
2000-12-31,38-Jährige,732269,691821,1424090
2000-12-31,39-Jährige,718953,685035,1403988
2000-12-31,40-Jährige,699912,667410,1367322
2000-12-31,41-Jährige,678342,647124,1325466
2000-12-31,42-Jährige,645242,614854,1260096
2000-12-31,43-Jährige,632907,604450,1237357
2000-12-31,44-Jährige,616866,592090,1208956
2000-12-31,45-Jährige,598050,577980,1176030
2000-12-31,46-Jährige,585803,573992,1159795
2000-12-31,47-Jährige,566548,559934,1126482
2000-12-31,48-Jährige,568056,563082,1131138
2000-12-31,49-Jährige,557750,553112,1110862
2000-12-31,50-Jährige,562673,558025,1120698
2000-12-31,51-Jährige,546575,537516,1084091
2000-12-31,52-Jährige,504765,494678,999443
2000-12-31,53-Jährige,474831,468783,943614
2000-12-31,54-Jährige,417548,412754,830302
2000-12-31,55-Jährige,368066,369883,737949
2000-12-31,56-Jährige,490439,491414,981853
2000-12-31,57-Jährige,500619,499352,999971
2000-12-31,58-Jährige,487315,487762,975077
2000-12-31,59-Jährige,587175,593827,1181002
2000-12-31,60-Jährige,617425,630345,1247770
2000-12-31,61-Jährige,602737,621188,1223925
2000-12-31,62-Jährige,560011,582443,1142454
2000-12-31,63-Jährige,520124,546660,1066784
2000-12-31,64-Jährige,501045,536187,1037232
2000-12-31,65-Jährige,479753,519695,999448
2000-12-31,66-Jährige,442018,484696,926714
2000-12-31,67-Jährige,351295,393237,744532
2000-12-31,68-Jährige,344114,394408,738522
2000-12-31,69-Jährige,344046,403680,747726
2000-12-31,70-Jährige,354733,427908,782641
2000-12-31,71-Jährige,335785,416263,752048
2000-12-31,72-Jährige,324575,414020,738595
2000-12-31,73-Jährige,281950,394402,676352
2000-12-31,74-Jährige,254065,399479,653544
2000-12-31,75-Jährige,232272,401276,633548
2000-12-31,76-Jährige,194176,380166,574342
2000-12-31,77-Jährige,179489,366437,545926
2000-12-31,78-Jährige,178493,369274,547767
2000-12-31,79-Jährige,171016,374635,545651
2000-12-31,80-Jährige,153491,353212,506703
2000-12-31,81-Jährige,107032,253167,360199
2000-12-31,82-Jährige,63215,154981,218196
2000-12-31,83-Jährige,55024,138363,193387
2000-12-31,84-Jährige,53661,141816,195477
2000-12-31,85 Jahre und mehr,386349,1226347,1612696
2000-12-31,Insgesamt,40156536,42103004,82259540
2001-12-31,unter 1 Jahr,378223,357532,735755
2001-12-31,1-Jährige,396041,376106,772147
2001-12-31,2-Jährige,398778,377140,775918
2001-12-31,3-Jährige,406442,385756,792198
2001-12-31,4-Jährige,419190,397776,816966
2001-12-31,5-Jährige,411907,390288,802195
2001-12-31,6-Jährige,397752,377911,775663
2001-12-31,7-Jährige,403117,381599,784716
2001-12-31,8-Jährige,419306,397776,817082
2001-12-31,9-Jährige,428898,408604,837502
2001-12-31,10-Jährige,446239,423991,870230
2001-12-31,11-Jährige,492255,466367,958622
2001-12-31,12-Jährige,486045,462446,948491
2001-12-31,13-Jährige,501162,474514,975676
2001-12-31,14-Jährige,491504,464179,955683
2001-12-31,15-Jährige,482359,457859,940218
2001-12-31,16-Jährige,467877,443535,911412
2001-12-31,17-Jährige,468529,442416,910945
2001-12-31,18-Jährige,473235,448991,922226
2001-12-31,19-Jährige,489213,466613,955826
2001-12-31,20-Jährige,490086,473113,963199
2001-12-31,21-Jährige,497077,481678,978755
2001-12-31,22-Jährige,477279,462043,939322
2001-12-31,23-Jährige,476474,460135,936609
2001-12-31,24-Jährige,476209,460023,936232
2001-12-31,25-Jährige,472961,455591,928552
2001-12-31,26-Jährige,465022,444432,909454
2001-12-31,27-Jährige,472865,454566,927431
2001-12-31,28-Jährige,481201,462026,943227
2001-12-31,29-Jährige,531500,507483,1038983
2001-12-31,30-Jährige,590072,561635,1151707
2001-12-31,31-Jährige,620851,586805,1207656
2001-12-31,32-Jährige,668931,630621,1299552
2001-12-31,33-Jährige,702313,661912,1364225
2001-12-31,34-Jährige,719760,680238,1399998
2001-12-31,35-Jährige,741654,698474,1440128
2001-12-31,36-Jährige,749802,700868,1450670
2001-12-31,37-Jährige,761752,715147,1476899
2001-12-31,38-Jährige,756610,712080,1468690
2001-12-31,39-Jährige,731961,692713,1424674
2001-12-31,40-Jährige,718261,686002,1404263
2001-12-31,41-Jährige,699318,668312,1367630
2001-12-31,42-Jährige,677160,647871,1325031
2001-12-31,43-Jährige,644096,615440,1259536
2001-12-31,44-Jährige,631785,604822,1236607
2001-12-31,45-Jährige,615441,592421,1207862
2001-12-31,46-Jährige,596413,578260,1174673
2001-12-31,47-Jährige,583747,574018,1157765
2001-12-31,48-Jährige,564535,559780,1124315
2001-12-31,49-Jährige,565876,562701,1128577
2001-12-31,50-Jährige,555406,552616,1108022
2001-12-31,51-Jährige,560042,557343,1117385
2001-12-31,52-Jährige,543760,536825,1080585
2001-12-31,53-Jährige,501852,493705,995557
2001-12-31,54-Jährige,471949,467632,939581
2001-12-31,55-Jährige,414488,411549,826037
2001-12-31,56-Jährige,365114,368610,733724
2001-12-31,57-Jährige,485962,489392,975354
2001-12-31,58-Jährige,495769,497207,992976
2001-12-31,59-Jährige,482451,485616,968067
2001-12-31,60-Jährige,580226,591029,1171255
2001-12-31,61-Jährige,609533,626891,1236424
2001-12-31,62-Jährige,594612,617621,1212233
2001-12-31,63-Jährige,551839,579000,1130839
2001-12-31,64-Jährige,511822,543033,1054855
2001-12-31,65-Jährige,492009,532131,1024140
2001-12-31,66-Jährige,470371,515092,985463
2001-12-31,67-Jährige,432441,479935,912376
2001-12-31,68-Jährige,342792,388815,731607
2001-12-31,69-Jährige,334961,389513,724474
2001-12-31,70-Jährige,333979,398120,732099
2001-12-31,71-Jährige,343333,421296,764629
2001-12-31,72-Jährige,323833,409166,732999
2001-12-31,73-Jährige,312418,406093,718511
2001-12-31,74-Jährige,270559,385885,656444
2001-12-31,75-Jährige,242840,389718,632558
2001-12-31,76-Jährige,220768,390129,610897
2001-12-31,77-Jährige,183764,368192,551956
2001-12-31,78-Jährige,168634,353258,521892
2001-12-31,79-Jährige,166706,354168,520874
